Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Quantidade de vitimas fatais;Tipo de registro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-05-18 00:00:00;18;5;2024;2024/05;-22,17244597;-49,95292624;PONTILHAO DO ATACADAO;10;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-08-16 00:00:00;16;8;2019;2019/08;-22,22866924;-49,95834871;RODOVIA SP 294;450;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-06-09 00:00:00;9;6;2022;2022/06;-22,18238806;-49,95945464;RUA CORIFEU DE AZEVEDO MARQUES;544;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-03-16 00:00:00;16;3;2023;2023/03;-22,23256574;-49,9709458;RODOVIA SP 294;452;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-15 00:00:00;15;7;2023;2023/07;-22,1577523;-50,0120638;AVENIDA PASTOR DARCI DA SILVA LIMA;871;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-07-29 00:00:00;29;7;2021;2021/07;-22,23178331;-49,96939149;RUA FERRUCIO PEZORGNIA PERSON;69;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-08-21 00:00:00;21;8;2022;2022/08;-22,16411927;-50,01884683;RUA MIGUEL DE SOUZA E SILVA;155;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-05-16 00:00:00;16;5;2020;2020/05;-22,16302323;-49,96699861;AVENIDA JOAO MARTINS COELHO;1360;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-09-11 00:00:00;11;9;2023;2023/09;-22,22892814;-49,91728329;AVENIDA DAS ESMERALDAS;2669;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-05-07 00:00:00;7;5;2024;2024/05;-22,23824455;-49,97173551;RUA OSCAR MUNIZ SAMPAIO;330;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-19 00:00:00;19;10;2020;2020/10;-22,22515544;-49,96856751;AVENIDA ERMELINDA CLARICE SANCHES CASARINI;568;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-01-18 00:00:00;18;1;2023;2023/01;-22,17244597;-49,95292624;ROTATORIA DA UNIMAR;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-02-08 00:00:00;8;2;2024;2024/02;-22,2253567;-49,9623676;AVENIDA DA SAUDADE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-03-20 00:00:00;20;3;2024;2024/03;-22,2168737;-49,9419757;AVENIDA REPUBLICA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
